#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
#Host: 193.206.135.171
1569333145.49 291655 19.152 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.60 290441 19.019 120627.427 92222 3 3 1 5.053 513052 9.091 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.70 287303 18.886 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.81 286447 18.819 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.91 284925 18.685 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.01 284440 18.619 120627.427 92222 3 3 1 5.053 513052 20.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.11 283186 18.485 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.22 282588 18.418 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.32 281617 18.285 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.42 280789 18.218 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.53 279540 18.085 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.63 278410 17.951 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.74 269801 17.885 120627.427 92222 3 3 1 5.053 513052 9.091 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.84 268151 17.751 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.94 267581 17.684 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.04 266529 17.551 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.15 265878 17.484 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.25 264800 17.351 120627.427 92222 3 3 1 5.053 513052 9.091 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.36 264312 17.284 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.46 263135 17.150 120627.427 92222 3 3 1 5.053 513052 18.182 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.56 262492 17.084 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.67 261355 16.950 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.77 257366 16.817 120627.427 92222 3 3 1 5.053 513052 20.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.88 256742 16.750 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333147.98 255425 16.617 120627.427 92222 3 3 1 5.053 513052 9.091 0.585 48132096.000 652468224.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
