#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
1569334225.61 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.72 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.82 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.92 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.03 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.13 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.23 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.34 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.44 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.54 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.65 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.75 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.86 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334226.96 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.06 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.16 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.27 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.37 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.48 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.58 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.68 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.78 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.89 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.563 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334227.99 303204 19.953 51732.252 38888 1 3 0 0.000 513052 9.091 0.573 47165440.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.09 296004 19.820 51732.252 38888 1 3 1 11.412 513052 10.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.20 295616 19.753 51732.252 38888 1 3 1 11.412 513052 9.091 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.30 294902 19.620 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.41 294457 19.553 51732.252 38888 1 3 1 11.412 513052 10.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.51 293495 19.419 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.61 293119 19.353 51732.252 38888 1 3 1 11.412 513052 10.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.71 292131 19.219 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.82 291655 19.152 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334228.92 290441 19.019 51732.252 38888 1 3 1 11.412 513052 10.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.02 287303 18.886 51732.252 38888 1 3 1 11.412 513052 10.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.13 286447 18.819 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47181824.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.23 284925 18.685 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47173632.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.33 284440 18.619 51732.252 38888 1 3 1 11.412 513052 20.000 0.573 47173632.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.43 283186 18.485 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47173632.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.54 282588 18.418 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47173632.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
1569334229.64 281617 18.285 51732.252 38888 1 3 1 11.412 513052 0.000 0.573 47173632.000 651546624.000 1569334227.952 1569334227.948 0 0 25000 38888 60555 92222
