#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0

1569334757.26 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.36 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.47 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.57 146141 9.943 69813.467 25000 0 3 0 0.000 250228 9.091 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.67 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.78 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.88 146141 9.943 69813.467 25000 0 3 0 0.000 250228 9.091 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.98 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334758.08 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334758.19 146141 9.943 69813.467 25000 0 3 0 0.000 250228 9.091 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334758.29 303204 19.953 120386.419 25000 0 3 0 0.000 513052 10.000 0.572 47124480.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334758.40 296004 19.820 120386.419 25000 0 3 1 6.955 513052 10.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334758.50 295616 19.753 120386.419 25000 0 3 1 6.955 513052 0.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334758.60 294902 19.620 120386.419 25000 0 3 1 6.955 513052 10.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334758.70 294457 19.553 120386.419 25000 0 3 1 6.955 513052 0.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334758.80 293495 19.419 120386.419 25000 0 3 1 6.955 513052 0.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334758.91 293119 19.353 120386.419 25000 0 3 1 6.955 513052 9.091 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334759.01 292131 19.219 120386.419 25000 0 3 1 6.955 513052 0.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334759.12 291655 19.152 120386.419 25000 0 3 1 6.955 513052 9.091 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334759.22 290441 19.019 120386.419 25000 0 3 1 6.955 513052 10.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334759.32 287303 18.886 120386.419 25000 0 3 1 6.955 513052 10.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334759.43 286447 18.819 120386.419 25000 0 3 1 6.955 513052 9.091 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
1569334759.53 284925 18.685 120386.419 25000 0 3 1 6.955 513052 10.000 0.572 47128576.000 651513856.000 1569334758.215 1569334758.212 0 0 25000 38888 60555 92222
